"","X","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude","cleaned","score","date","time","zipcode","rnum","zcode"
"25",27,"Hey Irish you can stand undah my umbrella | #goirish #reallyTU @ Public House NYC https://t.co/GENadbHCNX",FALSE,0,NA,"2015-10-04 02:22:23",FALSE,NA,650496156343140352,NA,"<a href=""http://instagram.com"" rel=""nofollow"">Instagram</a>","bob_scan",0,FALSE,FALSE,-73.97605517,40.75055138,"Hey Irish you can stand undah my umbrellagoirish reallyTUPublic House NYC",0,2015-10-04,"02:22:23","a",25,10017
"26",28,"dwelch3 preparing for his set with #Railroadiana at the #BushwickBall @ Bushwick Public House https://t.co/cRjCbgy1ov",FALSE,1,NA,"2015-10-04 02:20:09",FALSE,NA,650495592666259456,NA,"<a href=""http://instagram.com"" rel=""nofollow"">Instagram</a>","B_Darzzz",0,FALSE,FALSE,-73.9246368,40.6979599,"dwelch preparing for his set with Railroadiana at the BushwickBallBushwick Public House",0,2015-10-04,"02:20:09","a",26,11221
"27",29,"At NJT - Danforth Avenue Light Rail Station — https://t.co/Ke1Asp0iMd",FALSE,0,NA,"2015-10-04 02:15:58",FALSE,NA,650494538235052032,NA,"<a href=""https://path.com/"" rel=""nofollow"">Path</a>","philip07304",0,FALSE,FALSE,-74.09263,40.68816,"At NJTDanforth Avenue Light Rail Station —",-1,2015-10-04,"02:15:58","a",27,7305
"28",31,"I'm at Mercedes House in New York, NY https://t.co/TVoUCEkvoU",FALSE,0,NA,"2015-10-04 02:11:44",FALSE,NA,650493473779490816,NA,"<a href=""http://foursquare.com"" rel=""nofollow"">Foursquare</a>","grecobs",0,FALSE,FALSE,-73.9916832,40.7675018,"Im at Mercedes House in New York NY",0,2015-10-04,"02:11:44","a",28,10019
"29",32,"My beauties <ed><U+00A0><U+00BD><ed><U+00B2><U+009C> @ Liberty House Restaurant https://t.co/ELnguVTh0n",FALSE,0,NA,"2015-10-04 02:11:00",FALSE,NA,650493291532713984,NA,"<a href=""http://instagram.com"" rel=""nofollow"">Instagram</a>","lilluforyou",0,FALSE,FALSE,-74.03989245,40.70920278,"My beauties edUAUBDedUBUCLiberty House Restaurant",0,2015-10-04,"02:11:00","a",29,7305
"30",33,"Ceiling detail @ United States Realty Building https://t.co/xWp9ukuQxh",FALSE,0,NA,"2015-10-04 02:10:43",FALSE,NA,650493217163472896,NA,"<a href=""http://instagram.com"" rel=""nofollow"">Instagram</a>","heyrachmcgach",0,FALSE,FALSE,-74.0114594,40.7089195,"Ceiling detailUnited States Realty Building",0,2015-10-04,"02:10:43","a",30,10006
"31",34,"I'm at Abington House on the Highline - @2910ah in New York, NY w/ @sarahkarpward https://t.co/USVWMsJvao",FALSE,0,NA,"2015-10-04 02:10:39",FALSE,NA,650493201774718976,NA,"<a href=""http://foursquare.com"" rel=""nofollow"">Foursquare</a>","pererica",0,FALSE,FALSE,-74.0016686,40.75196241,"Im at Abington House on the Highlinein New York NY w",0,2015-10-04,"02:10:39","a",31,10001
"32",35,"I'm at 4th Ave Beer House in Brooklyn, NY https://t.co/RxwwuYdU1V",FALSE,0,NA,"2015-10-04 02:08:28",FALSE,NA,650492651901460480,NA,"<a href=""http://foursquare.com"" rel=""nofollow"">Foursquare</a>","SpectacOptical",0,FALSE,FALSE,-73.98958849,40.66917451,"Im at th Ave Beer House in Brooklyn NY",0,2015-10-04,"02:08:28","a",32,11215
"33",37,"Be still my historic architecture art! @ United States Realty Building https://t.co/9UJggz4F6i",FALSE,0,NA,"2015-10-04 02:06:08",FALSE,NA,650492063440498688,NA,"<a href=""http://instagram.com"" rel=""nofollow"">Instagram</a>","heyrachmcgach",0,FALSE,FALSE,-74.0114594,40.7089195,"Be still my historic architecture artUnited States Realty Building",0,2015-10-04,"02:06:08","a",33,10006
"34",38,"After BAM dinner checking out the new neighborhood restaurant (@ Walabout Seafood &amp; Co. in Brooklyn, NY) https://t.co/J1jLtcL6Zd",FALSE,0,NA,"2015-10-04 02:04:07",FALSE,NA,650491559381700608,NA,"<a href=""http://foursquare.com"" rel=""nofollow"">Foursquare</a>","RachelsRadarNYC",0,FALSE,FALSE,-73.970873,40.689366,"After BAM dinner checking out the new neighborhood restaurantWalabout Seafood amp Co in Brooklyn NY",0,2015-10-04,"02:04:07","a",34,11205
"35",39,"Update: Construction on #B61Bus BOTHDIR from 9th Street: Smith Street to 9th Street: 3rd Avenue http://t.co/MUCkvih5Ri",FALSE,0,NA,"2015-10-04 02:04:03",FALSE,NA,650491541526593536,NA,"<a href=""https://511ny.org"" rel=""nofollow"">511NY-Tweets</a>","511NY",0,FALSE,FALSE,-73.99778,40.674783,"Update Construction on BBus BOTHDIR from th Street Smith Street to th Street rd Avenue",0,2015-10-04,"02:04:03","a",35,11231
"36",40,"Update: Construction on #B61Bus BOTHDIR from 9th Street: Smith Street to 9th Street: 3rd Avenue http://t.co/jds1vF02VT",FALSE,0,NA,"2015-10-04 02:04:03",FALSE,NA,650491540910043136,NA,"<a href=""https://511ny.org"" rel=""nofollow"">511NY-Tweets</a>","511NYC",1,FALSE,FALSE,-73.99778,40.674783,"Update Construction on BBus BOTHDIR from th Street Smith Street to th Street rd Avenue",0,2015-10-04,"02:04:03","a",36,11231
"37",41,"In the Flatlands/Flatbush area looking for $8 newports? DM me.",FALSE,0,NA,"2015-10-04 02:03:47",FALSE,NA,650491474824568832,NA,"<a href=""http://ubersocial.com"" rel=""nofollow"">UberSocial for Android</a>","NYSmokeClub",0,FALSE,FALSE,-73.938483,40.617605,"In the FlatlandsFlatbush area looking fornewports DM me",0,2015-10-04,"02:03:47","a",37,11234
"38",44,"We in the building! @ Resorts World Casino New York City https://t.co/ieHSjHzawi",FALSE,0,NA,"2015-10-04 02:01:46",FALSE,NA,650490967280230400,NA,"<a href=""http://instagram.com"" rel=""nofollow"">Instagram</a>","Majikonline",0,FALSE,FALSE,-73.8309174,40.6779861,"We in the buildingResorts World Casino New York City",0,2015-10-04,"02:01:46","a",38,11420
"39",45,"Construction on #B61Bus BOTHDIR from 9th Street: Smith Street to 9th Street: 3rd Avenue http://t.co/MUCkvih5Ri",FALSE,0,NA,"2015-10-04 02:01:34",FALSE,NA,650490914893361152,NA,"<a href=""https://511ny.org"" rel=""nofollow"">511NY-Tweets</a>","511NY",0,FALSE,FALSE,-73.99778,40.674783,"Construction on BBus BOTHDIR from th Street Smith Street to th Street rd Avenue",0,2015-10-04,"02:01:34","a",39,11231
"40",46,"Construction on #B61Bus BOTHDIR from 9th Street: Smith Street to 9th Street: 3rd Avenue http://t.co/jds1vF02VT",FALSE,0,NA,"2015-10-04 02:01:34",FALSE,NA,650490914327134208,NA,"<a href=""https://511ny.org"" rel=""nofollow"">511NY-Tweets</a>","511NYC",3,FALSE,FALSE,-73.99778,40.674783,"Construction on BBus BOTHDIR from th Street Smith Street to th Street rd Avenue",0,2015-10-04,"02:01:34","a",40,11231
"41",47,"there goes The Neighbourhood! #thenbhd @ TERMINAL 5 https://t.co/n5YRbx2pqe",FALSE,0,NA,"2015-10-04 02:00:53",FALSE,NA,650490744633970688,NA,"<a href=""http://instagram.com"" rel=""nofollow"">Instagram</a>","talijancic",0,FALSE,FALSE,-73.9927597,40.7696991,"there goes The Neighbourhood thenbhdTERMINAL",0,2015-10-04,"02:00:53","a",41,10019
"42",48,"Shooting location w/ christie_ferrari #genstreetstyle @ Hotel Americano: Chelsea, New York https://t.co/0FxbDT5W3I",FALSE,0,NA,"2015-10-04 01:55:55",FALSE,NA,650489493410172928,NA,"<a href=""http://instagram.com"" rel=""nofollow"">Instagram</a>","genstreetstyle",0,FALSE,FALSE,-74.0035934,40.7505875,"Shooting location w christieferrari genstreetstyleHotel Americano Chelsea New York",0,2015-10-04,"01:55:55","a",42,10001
"43",49,"Today's first shooting location w/ @fairygrace &amp; @genandgus #genstreetstyle @ DUMBO, Brooklyn https://t.co/1QJqfvkJxQ",FALSE,0,NA,"2015-10-04 01:55:48",FALSE,NA,650489466340175872,NA,"<a href=""http://instagram.com"" rel=""nofollow"">Instagram</a>","genstreetstyle",0,FALSE,FALSE,-73.98987679,40.7030536,"Todays first shooting location wampgenstreetstyleDUMBO Brooklyn",0,2015-10-04,"01:55:48","a",43,11201
"44",51,"I'm at WelcOMe Yoga &amp; Wellness House in Newark, NJ https://t.co/kPc95kW1rd",FALSE,0,NA,"2015-10-04 01:51:45",FALSE,NA,650488443936616448,NA,"<a href=""http://foursquare.com"" rel=""nofollow"">Foursquare</a>","TeshawnEdmonds",0,FALSE,FALSE,-74.172998,40.741592,"Im at WelcOMe Yoga amp Wellness House in Newark NJ",1,2015-10-04,"01:51:45","a",44,7102
"45",53,"Boyfraaand <ed><U+00A0><U+00BD><ed><U+00B2><U+0099> #anotherweekendanotherwedding #professionalpartyguests #vapelife @ Liberty House Restaurant https://t.co/IK1oVqWdNX",FALSE,0,NA,"2015-10-04 01:48:08",FALSE,NA,650487533671989248,NA,"<a href=""http://instagram.com"" rel=""nofollow"">Instagram</a>","lilluforyou",0,FALSE,FALSE,-74.03989245,40.70920278,"Boyfraaand edUAUBDedUBU anotherweekendanotherwedding professionalpartyguests vapelifeLiberty House Restaurant",0,2015-10-04,"01:48:08","a",45,7305
"46",56,"J bird n' ky took me to the homie's crib today taylorswift #155 #innit @ TriBeCa https://t.co/3ylBwyMq3M",FALSE,0,NA,"2015-10-04 01:44:03",FALSE,NA,650486508680552448,NA,"<a href=""http://instagram.com"" rel=""nofollow"">Instagram</a>","carlyharris21",0,FALSE,FALSE,-74.007819,40.718266,"J bird n ky took me to the homies crib today taylorswiftinnitTriBeCa",0,2015-10-04,"01:44:03","a",46,10013
"47",57,"Construction on #B63Bus BOTHDIR at 5th Avenue : 60th Street http://t.co/lFMZSqdH1G",FALSE,0,NA,"2015-10-04 01:42:17",FALSE,NA,650486062402412544,NA,"<a href=""https://511ny.org"" rel=""nofollow"">511NY-Tweets</a>","511NY",0,FALSE,FALSE,-74.016113,40.639419,"Construction on BBus BOTHDIR at th Avenueth Street",0,2015-10-04,"01:42:17","a",47,11220
"48",58,"Construction on #B63Bus BOTHDIR at 5th Avenue : 60th Street http://t.co/XMdGtwD9Pe",FALSE,0,NA,"2015-10-04 01:42:17",FALSE,NA,650486061815197696,NA,"<a href=""https://511ny.org"" rel=""nofollow"">511NY-Tweets</a>","511NYC",3,FALSE,FALSE,-74.016113,40.639419,"Construction on BBus BOTHDIR at th Avenueth Street",0,2015-10-04,"01:42:17","a",48,11220
"49",59,"I'm at Brick Lane Curry House in New York, NY https://t.co/cRzhBtCE9Z",FALSE,2,NA,"2015-10-04 01:36:19",FALSE,NA,650484563085557760,NA,"<a href=""http://foursquare.com"" rel=""nofollow"">Foursquare</a>","RoboticMike",0,FALSE,FALSE,-73.98852104,40.7272757,"Im at Brick Lane Curry House in New York NY",0,2015-10-04,"01:36:19","a",49,10003
"50",60,"#bacon #Mac&amp;cheese @fhstationhouse #baconmakesitbetter @ Forest Hills Station House Beer Hall https://t.co/5G00UaWma5",FALSE,0,NA,"2015-10-04 01:33:56",FALSE,NA,650483962217807872,NA,"<a href=""http://instagram.com"" rel=""nofollow"">Instagram</a>","JKuntz10",0,FALSE,FALSE,-73.84507628,40.71997057,"bacon MacampcheesebaconmakesitbetterForest Hills Station House Beer Hall",0,2015-10-04,"01:33:56","a",50,11375
"51",61,"Clowning around 
#graffiti #art #newyork #building #Brooklyn #travel #vacation #nyfw #art #beauty… https://t.co/TdCBBNK08o",FALSE,3,NA,"2015-10-04 01:33:20",FALSE,NA,650483811185065984,NA,"<a href=""http://instagram.com"" rel=""nofollow"">Instagram</a>","ChapmanCollects",0,FALSE,FALSE,-73.95,40.65,"Clowning around 
graffiti art newyork building Brooklyn travel vacation nyfw art beauty…",0,2015-10-04,"01:33:20","a",51,11226
"52",62,"the new neighborhood cook russells.teapot #ChefLife #StGeorge #WeEverywhere nuhcasa markcartel10 @… https://t.co/cVjYptU7rH",FALSE,0,NA,"2015-10-04 01:30:48",FALSE,NA,650483174091411456,NA,"<a href=""http://instagram.com"" rel=""nofollow"">Instagram</a>","Mach0Martinez",0,FALSE,FALSE,-74.0775299,40.6363716,"the new neighborhood cook russellsteapot ChefLife StGeorge WeEverywhere nuhcasa markcartel …",0,2015-10-04,"01:30:48","a",52,10301
"53",63,"@RealPaigeBritWW @LetsDoWhitFlair @LassKickingWWE @OfficalRealWWE Actually, this is MY house.  #MSG #WelcomeToNYC",FALSE,0,"RealPaigeBritWW","2015-10-04 01:24:35",FALSE,650478683233370112,650481610211631104,605956445,"<a href=""https://twitter.com/download/android"" rel=""nofollow"">Twitter for Android Tablets</a>","LeviAldebol",0,FALSE,FALSE,-73.81693139,40.81680382,"Actually this is MY houseMSG WelcomeToNYC",0,2015-10-04,"01:24:35","a",53,10465
"54",64,"I'm at 1040 46th Avenue Long Island City NY in Long Island City, NY https://t.co/S5D0QFF2PZ",FALSE,0,NA,"2015-10-04 01:19:45",FALSE,NA,650480392621981696,NA,"<a href=""http://foursquare.com"" rel=""nofollow"">Foursquare</a>","Jetzgretz",0,FALSE,FALSE,-73.95361626,40.74598176,"Im atth Avenue Long Island City NY in Long Island City NY",0,2015-10-04,"01:19:45","a",54,11101
"55",65,"<ed><U+00A0><U+00BD><ed><U+00B8><U+00A2> #tbt #nostalgic #nyc @ Empire State Building https://t.co/H6zGnt3DLa",FALSE,2,NA,"2015-10-04 01:12:33",FALSE,NA,650478578518233088,NA,"<a href=""http://instagram.com"" rel=""nofollow"">Instagram</a>","olgalon",0,FALSE,FALSE,-73.98562585,40.74880257,"edUAUBDedUBUA tbt nostalgic nycEmpire State Building",0,2015-10-04,"01:12:33","a",55,10118
"56",66,"<ed><U+00A0><U+00BC><ed><U+00BE><U+00B6> What a beautiful month in the neighborhood! <ed><U+00A0><U+00BC><ed><U+00BE><U+00B6><ed><U+00A0><U+00BD><ed><U+00B8><U+008D><ed><U+00A0><U+00BD><ed><U+00B8><U+008D><ed><U+00A0><U+00BD><ed><U+00B8><U+008D> @ Casa De Betances… https://t.co/9c4XcOoNvU",FALSE,0,NA,"2015-10-04 01:09:59",FALSE,NA,650477932360679424,NA,"<a href=""http://instagram.com"" rel=""nofollow"">Instagram</a>","DbtapiaLa",0,FALSE,FALSE,-73.83031067,40.83107568,"edUAUBCedUBEUB What a beautiful month in the neighborhood edUAUBCedUBEUBedUAUBDedUBUDedUAUBDedUBUDedUAUBDedUBUDCasa De Betances…",1,2015-10-04,"01:09:59","a",56,10465
"57",67,"The lights are so bright but they never blind me<ed><U+00A0><U+00BC><ed><U+00B7><U+00BA><ed><U+00A0><U+00BC><ed><U+00B7><U+00B8><U+2764><U+FE0F><ed><U+00A0><U+00BC><ed><U+00BC><U+0083><ed><U+00A0><U+00BD><ed><U+00B7><U+00BD> @ Empire State Building https://t.co/BiVZ8qGrcQ",FALSE,0,NA,"2015-10-04 01:09:54",FALSE,NA,650477914006249472,NA,"<a href=""http://instagram.com"" rel=""nofollow"">Instagram</a>","diana_ixchel",0,FALSE,FALSE,-73.98562585,40.74880257,"The lights are so bright but they never blind meedUAUBCedUBUBAedUAUBCedUBUBUUFEFedUAUBCedUBCUedUAUBDedUBUBDEmpire State Building",0,2015-10-04,"01:09:54","a",57,10118
"58",68,"I had the best pizza I've EVER had today. #pizzaandcalzone #sogood #brooklynpizza @ House of Pizza &amp;… https://t.co/4K40c3wAAx",FALSE,0,NA,"2015-10-04 01:09:42",FALSE,NA,650477861309153280,NA,"<a href=""http://instagram.com"" rel=""nofollow"">Instagram</a>","olichristine95",0,FALSE,FALSE,-74.0022507,40.6839485,"I had the best pizza Ive EVER had today pizzaandcalzone sogood brooklynpizzaHouse of Pizza amp…",1,2015-10-04,"01:09:42","a",58,11231
"59",69,"I'm at Station House - @fhstationhouse in Forest Hills, NY https://t.co/iCMhDQDKzO",FALSE,0,NA,"2015-10-04 01:08:28",FALSE,NA,650477550884548608,NA,"<a href=""http://foursquare.com"" rel=""nofollow"">Foursquare</a>","wenditappg",0,FALSE,FALSE,-73.84511395,40.71996539,"Im at Station Housein Forest Hills NY",0,2015-10-04,"01:08:28","a",59,11375
